회사,stock_code,기준일,시가총액,시가총액_억원,시가총액_조원,종가,상장주식수,수집일
한화오션,042660,2026-06-09,31315448866800,313154.4887,31.315449,102200,306413394,2026-06-10
삼성중공업,010140,2026-06-09,22748000000000,227480.0,22.748,25850,880000000,2026-06-10
대한조선,439260,2026-06-09,2319603657000,23196.0366,2.319604,60900,38088730,2026-06-10
HD현대중공업,329180,2026-06-09,64236269700000,642362.697,64.23627,612000,104961225,2026-06-10
한화오션,042660,2026-06-04,35268181649400,352681.8165,35.268182,115100,306413394,2026-06-08
삼성중공업,010140,2026-06-04,24992000000000,249920.0,24.992,28400,880000000,2026-06-08
대한조선,439260,2026-06-04,2361501260000,23615.0126,2.361501,62000,38088730,2026-06-08
HD현대중공업,329180,2026-06-04,68329757475000,683297.5748,68.329757,651000,104961225,2026-06-08
한화오션,042660,2026-06-02,35543953704000,355439.537,35.543954,116000,306413394,2026-06-05
삼성중공업,010140,2026-06-02,24376000000000,243760.0,24.376,27700,880000000,2026-06-05
대한조선,439260,2026-06-02,2338648022000,23386.4802,2.338648,61400,38088730,2026-06-05
HD현대중공업,329180,2026-06-02,70638904425000,706389.0443,70.638904,673000,104961225,2026-06-05
한화오션,042660,2026-05-29,37780771480200,377807.7148,37.780771,123300,306413394,2026-06-05
삼성중공업,010140,2026-05-29,24596000000000,245960.0,24.596,27950,880000000,2026-06-05
대한조선,439260,2026-05-29,2407207736000,24072.0774,2.407208,63200,38088730,2026-06-05
HD현대중공업,329180,2026-05-29,73053012600000,730530.126,73.053013,696000,104961225,2026-06-05
한화오션,042660,2026-04-30,40385285329200,403852.8533,40.385285,131800,306413394,2026-06-05
삼성중공업,010140,2026-04-30,28468000000000,284680.0,28.468,32350,880000000,2026-06-05
대한조선,439260,2026-04-30,3448104924000,34481.0492,3.448105,89500,38526312,2026-06-05
HD현대중공업,329180,2026-04-30,71898439125000,718984.3912,71.898439,685000,104961225,2026-06-05
한화오션,042660,2026-03-31,36830889958800,368308.8996,36.83089,120200,306413394,2026-06-05
삼성중공업,010140,2026-03-31,21516000000000,215160.0,21.516,24450,880000000,2026-06-05
대한조선,439260,2026-03-31,3301704938400,33017.0494,3.301705,85700,38526312,2026-06-05
HD현대중공업,329180,2026-03-31,48806969625000,488069.6962,48.80697,465000,104961225,2026-06-05
한화오션,042660,2026-02-27,43265571232800,432655.7123,43.265571,141200,306413394,2026-06-05
삼성중공업,010140,2026-02-27,25476000000000,254760.0,25.476,28950,880000000,2026-06-05
대한조선,439260,2026-02-27,3833368044000,38333.6804,3.833368,99500,38526312,2026-06-05
HD현대중공업,329180,2026-02-27,63291618675000,632916.1867,63.291619,603000,104961225,2026-06-05
한화오션,042660,2026-01-30,42438255069000,424382.5507,42.438255,138500,306413394,2026-06-05
삼성중공업,010140,2026-01-30,25916000000000,259160.0,25.916,29450,880000000,2026-06-05
대한조선,439260,2026-01-30,2681431315200,26814.3132,2.681431,69600,38526312,2026-06-05
HD현대중공업,329180,2026-01-30,60352704375000,603527.0437,60.352704,575000,104961225,2026-06-05
한화오션,042660,2025-12-30,34808561558400,348085.6156,34.808562,113600,306413394,2026-06-05
삼성중공업,010140,2025-12-30,21208000000000,212080.0,21.208,24100,880000000,2026-06-05
대한조선,439260,2025-12-30,2581262904000,25812.629,2.581263,67000,38526312,2026-06-05
HD현대중공업,329180,2025-12-30,53425263525000,534252.6353,53.425264,509000,104961225,2026-06-05
한화오션,042660,2025-11-28,33031363873200,330313.6387,33.031364,107800,306413394,2026-06-05
삼성중공업,010140,2025-11-28,21648000000000,216480.0,21.648,24600,880000000,2026-06-05
대한조선,439260,2025-11-28,2639052372000,26390.5237,2.639052,68500,38526312,2026-06-05
HD현대중공업,329180,2025-11-28,47493617060000,474936.1706,47.493617,535000,88773116,2026-06-05
