회사,목표연도,목표구분,수주목표,목표단위,수주목표_억불,공시일,공시명,접수번호,DART_URL
삼성중공업,2026,조선·해양,139,억불,139,20260130,연결재무제표기준영업실적등에대한전망(공정공시),20260130800722,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260130800722
HD현대중공업,2026,해양/플랜트,"3,259",백만불,32.59,20260105,영업실적등에대한전망(공정공시),20260105800692,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260105800692
HD현대중공업,2026,조선,"14,486",백만불,144.86,20260105,영업실적등에대한전망(공정공시),20260105800692,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260105800692
HD현대삼호,2026,조선,"5,048",단위:백만불,50.48,20260105,영업실적등에대한전망(공정공시)(자회사의 주요경영사항),20260105800686,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260105800686
삼성중공업,2025,조선·해양,98,억불,98,20250205,연결재무제표기준영업실적등에대한전망(공정공시),20250205800531,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250205800531
HD현대중공업,2025,해양/플랜트,"1,884",백만불,18.84,20250103,영업실적등에대한전망(공정공시),20250103800014,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250103800014
HD현대중공업,2025,특수선,"1,567",백만불,15.67,20250103,영업실적등에대한전망(공정공시),20250103800014,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250103800014
HD현대중공업,2025,조선,"6,300",백만불,63,20250103,영업실적등에대한전망(공정공시),20250103800014,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250103800014
HD현대삼호,2025,조선,"4,571",단위:백만불,45.71,20250103,영업실적등에대한전망(공정공시)(자회사의 주요경영사항),20250103800007,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250103800007
HD현대미포,2025,조선,"3,800",단위: 백만불,38,20250103,영업실적등에대한전망(공정공시),20250103800024,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250103800024
삼성중공업,2024,조선·해양,97,억불,97,20240207,연결재무제표기준영업실적등에대한전망(공정공시),20240207800815,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240207800815
HD현대중공업,2024,해양/플랜트,"1,015",백만불,10.15,20240103,영업실적등에대한전망(공정공시),20240103800001,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240103800001
HD현대중공업,2024,특수선,988,백만불,9.88,20240103,영업실적등에대한전망(공정공시),20240103800001,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240103800001
HD현대중공업,2024,조선,"5,200",백만불,52,20240103,영업실적등에대한전망(공정공시),20240103800001,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240103800001
HD현대삼호,2024,조선,"3,200",단위:백만불,32,20240103,영업실적등에대한전망(공정공시)(자회사의 주요경영사항),20240103800002,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240103800002
HD현대미포,2024,조선,"3,100",단위:백만불,31,20240103,영업실적등에대한전망(공정공시),20240103800003,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240103800003
삼성중공업,2023,조선·해양,95,억불,95,20230130,연결재무제표기준영업실적등에대한전망(공정공시),20230130800491,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230130800491
HD현대중공업,2023,해양/플랜트,"1,224",백만불,12.24,20230103,영업실적등에대한전망(공정공시),20230103800001,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230103800001
HD현대중공업,2023,특수선,"1,213",백만불,12.13,20230103,영업실적등에대한전망(공정공시),20230103800001,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230103800001
HD현대중공업,2023,조선,"7,000",백만불,70,20230103,영업실적등에대한전망(공정공시),20230103800001,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230103800001
HD현대삼호,2023,조선,"2,600",단위:백만불,26,20230102,영업실적등에대한전망(공정공시)(자회사의 주요경영사항),20230102800230,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230102800230
HD현대미포,2023,조선,"3,700",단위:백만불,37,20230103,영업실적등에대한전망(공정공시),20230103800005,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230103800005
삼성중공업,2022,조선·해양,88,억불,88,20220127,연결재무제표기준영업실적등에대한전망(공정공시),20220127800448,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220127800448
HD현대중공업,2022,해양/플랜트,"1,084",백만불,10.84,20220103,영업실적등에대한전망(공정공시),20220103800003,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220103800003
HD현대중공업,2022,특수선,"1,393",백만불,13.93,20220103,영업실적등에대한전망(공정공시),20220103800003,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220103800003
HD현대중공업,2022,조선,"6,950",백만불,69.5,20220103,영업실적등에대한전망(공정공시),20220103800003,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220103800003
HD현대삼호,2022,조선,"4,605",단위:백만불,46.05,20220103,연결재무제표기준영업실적등에대한전망(공정공시)(자회사의 주요경영사항),20220103800002,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220103800002
HD현대미포,2022,조선,"3,600",단위:백만불,36,20220103,영업실적등에대한전망(공정공시),20220103800005,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220103800005
